"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"51577","SN 2015dj","22:46:05.040","-10:59:48.40","SN Ib","0","NGC 7371","0.0089","","","Padova-Asiago","","PSN J22460504-1059484","Other - Other","Ekar - AFOSC","1","1","","16.7","Clear-","2015-07-10 15:43:12.000","Misra","","2020TNSTR..31....1I","2020TNSCR.318....1B",""
"42090","SN 2015da","13:52:24.110","+39:41:28.60","SN IIn","0.006669","NGC 5337","","","","None","","PSN J13522411+3941286","Mayall - KOSMOS, Other - Other","Other - Other","1","1","","16.9","Clear-","2015-01-09 21:21:36.000","Tartaglia","","2019TNSTR1671....1T","2019TNSCR1357....1Z",""
"40830","SN 2015cz","01:31:59.450","+33:28:45.80","SN IIP","0.0145","NGC 582","0.0145","","","None","","PNV J01315945+3328458","Other - Other","Lijiang-2.4m - YFOSC","1","1","","16.5","Clear-","2015-10-02 21:36:00.000","Misra","","2019TNSTR1124....1L","2020TNSCR1089....1Z",""
"26120","SN 2015cq","16:29:38.600","+40:14:10.00","SN II","0.028","SDSS J162938.32+401407.4","0.028","","","None","","","Other - Other","Other - Other","1","1","","23.46","g-Sloan","2015-05-20 00:00:00.000","Sun","","2018TNSTR.566....1Z","2018TNSCR.571....1S",""
"25696","SN 2015cp","03:09:12.761","+27:31:16.95","SN Ia-91T-like","0.0413","SDSS J030912.11+273106.9","0.0413","","","None","","iPTF15fel","P48 - CFH12k","ESO-NTT - EFOSC2-NTT","1","1","","19.06","R-Cousins","2015-12-28 02:27:03.000","Nugent","","2018TNSTR.414....1N","2018TNSCR.418....1F",""
"25680","SN 2015co","17:14:36.120","+30:44:08.40","SN II","0.029","SDSS J171436.05+304400.7","0.03","","","None","","","Other - Other","Other - Other","1","1","","18.3","Ha-","2015-09-28 12:00:00.000","Rodriguez Del Pino","","2018TNSTR.406....1P","2018TNSCR.286....1P, 2018TNSCR2086....1G",""
"23609","SN 2015cm","14:40:38.300","+53:30:13.80","SN Ia","0.038","Mrk477","0.037726","","","Padova-Asiago","","","Other - Other","Ekar - AFOSC","1","1","","16.9","V-Johnson","2015-07-08 07:03:08.000","Schmitt","","2017TNSTR1334....1S","2017TNSCR1347....1T",""
"21710","SN 2015cj","22:04:02.750","+09:30:50.00","SN Ia","","","","SKYS","SKYS","SKYS","SKYS","SKYS15g","Other - Other","LT - SPRAT","1","1","","18.05","g-Sloan","2015-11-10 10:33:36.000","Jiang","","2017TNSTR.838....1J","2017TNSCR.839....1J",""
"21659","SN 2015cg","01:10:24.100","+23:21:27.00","SN Ia-91T-like","","","","SKYS","SKYS","SKYS","SKYS","SKYS15e","Other - Other","LT - SPRAT","1","1","","17.7","g-Sloan","2015-11-05 15:36:00.000","Jiang","","2017TNSTR.819....1J","2017TNSCR.820....1J",""
"19471","SN 2015ce","22:41:26.890","+39:17:22.00","SN Iax[02cx-like]","","UGC 12156","0.017285","","","None","","","Other - Other","Plaskett - Plaskett","1","1","","17","Clear-","2015-08-19 01:36:28.000","Lyman"," [Object redshift updated according to host-redshift by admin]","2017TNSTR.377....1G","2017TNSCR.381....1B",""
"17012","SN 2015cb","17:16:35.841","-10:20:37.48","SN II","","IRAS 17138-1017","0.0173","SUNBIRD","SUNBIRD","SUNBIRD","","","Other - Other","Other - Other","1","1","","16.6","K-Bessel","2015-03-06 08:18:03.000","Kool"," [Object redshift updated according to host-redshift by admin]","2017TNSTR...9....1K","2017TNSCR.737....1K",""
"16817","SN 2015ca","10:04:01.572","-06:28:25.48","SN IIP","","NGC 3110","0.0182","SUNBIRD","SUNBIRD","SUNBIRD","","","Other - Other","Other - Other","1","1","","18.7","K-Bessel","2015-03-11 02:49:55.000","Kool"," [Object redshift updated according to host-redshift by admin]","2016TNSTR1073....1K","2017TNSCR.737....1K",""
"16164","SN 2015bz","00:54:56.810","+10:48:03.60","SN Ia","0.089","","","PIKA","PIKA","iPTF","PIKA","","Other - Other","Keck2 - DEIMOS","1","1","","18.2","Clear-","2015-11-05 19:57:22.000","Mikuz","","2016TNSTR.913....1V","2017TNSCR.164....1Y",""
"16160","SN 2015bv","07:05:10.050","+21:02:32.70","SN Ia","","","","PIKA","PIKA","LOSS","PIKA","","Other - Other","Lick-3m - KAST","1","1","","16.5","Clear-","2015-11-12 02:12:39.000","Mikuz","","2016TNSTR.914....1M","2017TNSCR.165....1S",""
"15416","SN 2015bs","22:33:43.775","-06:22:08.33","SN IIP","0.027","","","Pan-STARRS","Pan-STARRS","PESSTO","Pan-STARRS","PS15dsr","PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","21.37","w-P1","2015-06-27 13:46:33.000","PS1_Bot1","","2016TNSTR.765....1C","2016TNSCR.767....1S",""
"12428","SN 2015bq","12:35:06.370","+31:14:35.40","SN Ia-pec","0.028","PGC 41898","0.028","TNTS","TNTS","TNTS","TNTS","","BAO-0.6m - BATC","Lijiang-2.4m - YFOSC","1","1","","17.9","Clear-","2015-02-16 17:16:48.000","Wang","","2016TNSTR.376....1Z","2016TNSCR.377....1Z",""
"11133","SN 2015bo","14:09:55.130","+17:31:55.60","SN Ia-91bg-like","0.016195","NGC 5490","","SNHunt","SNHunt","PESSTO","CRTS; SNHunt","SNhunt278","Other - Other","ESO-NTT - EFOSC2-NTT","1","1","","18.4","V-crts-CRTS","2015-02-14 10:37:06.000","Drake","","2016TNSTR.157....1H","2017TNSCR.705....1Y",""
"10968","SN 2015bn","11:33:41.550","+00:43:33.50","SLSN-I","0.11","SDSSJ113341.53+004333.2 ","0.1136","Pan-STARRS","Pan-STARRS","PESSTO","Pan-STARRS","PS15ae","PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","16.96","w-P1","2015-02-15 11:12:28.000","Smartt","","2016TNSTR.147....1C","2016TNSCR.148....1G",""
"10947","SN 2015bm","12:08:00.100","+19:44:26.70","SN II","0.015","","","","","PESSTO","","","Other - Other","ESO-NTT - EFOSC2-NTT","1","1","","16.9","Clear-","2015-12-28 02:11:02.000","Mikuz","","2016TNSTR.127....1M","2016TNSCR.153....1Y",""
"10043","SN 2015bl","08:59:52.704","+53:15:54.81","SN Ia","0.093","","","iPTF","iPTF","iPTF","iPTF","iPTF15fke","P48 - CFH12k","Keck2 - DEIMOS","1","1","","20.03","R-PTF","2015-12-30 11:16:48.000","manulis","","2016TNSTR..53....1M","2016TNSCR..59....1K",""
"10040","SN 2015bk","07:03:28.622","+58:13:01.87","SN Ia","0.249","","","iPTF","iPTF","iPTF","iPTF","iPTF15fiv","P48 - CFH12k","Keck1 - LRIS","1","1","","20.61","g-PTF","2015-12-31 07:40:48.000","manulis","","2016TNSTR..53....1M","2016TNSCR..58....1M",""
"10017","SN 2015bj","09:19:52.730","-68:54:41.20","SN II","0.014","ESO 061- G 008 ","0.011208","","","None","","","Other - Other","Magellan-Clay - LDSS-3","1","1","","16.6","V-Johnson","2015-11-23 01:30:43.000","Galbany","","2016TNSTR..30....1M","2016TNSCR..57....1G",""
"10001","SN 2015bi","14:32:15.300","+26:19:31.60","SN IIb","0.016","VV 839","0.016014","ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts","None","ASAS-SN; GaiaAlerts","ASASSN-15uy","ASASSN-1 - Brutus, Gaia - Gaia-photometric","XLT - BFOSC","1","1","","16.58","V-Johnson","2015-12-31 14:52:48.000","Dong","","2016TNSTR...1....1C","2016TNSCR..13....1R",""
